student,teaching_method,city,time,statistics,cog_psy
1,method_A,Groningen,before,6,10
2,method_B,Nijmegen,before,11,
3,control,Rotterdam,before,12,10
4,method_A,Utrecht,before,10,9
5,method_B,Nijmegen,before,9,8
6,control,Utrecht,before,8,11
7,method_A,Unknown,before,,12
8,method_B,Utrecht,before,9,12
9,control,Leiden,before,8,10
10,method_A,Groningen,before,10,12
11,method_B,Utrecht,before,16,8
12,control,Nijmegen,before,11,13
13,method_A,Rotterdam,before,8,13
14,method_B,Utrecht,before,12,8
15,control,Leiden,before,13,10
16,method_A,Nijmegen,before,8,9
17,method_B,Rotterdam,before,12,10
18,control,Leiden,before,8,13
19,method_A,Rotterdam,before,12,9
20,method_B,Groningen,before,12,10
21,control,Nijmegen,before,12,11
22,method_A,Utrecht,before,10,
23,method_B,Nijmegen,before,9,8
24,control,Groningen,before,11,11
25,method_A,Groningen,before,8,9
26,method_B,Groningen,before,8,9
27,control,Rotterdam,before,4,12
28,method_A,Leiden,before,10,13
29,method_B,Rotterdam,before,12,5
30,control,Leiden,before,10,12
1,method_A,Groningen,after,26,32
2,method_B,Nijmegen,after,28,40
3,control,Rotterdam,after,12,11
4,method_A,Utrecht,after,32,37
5,method_B,Nijmegen,after,27,29
6,control,Utrecht,after,15,13
7,method_A,Leiden,after,19,33
8,method_B,Utrecht,after,26,36
9,control,Leiden,after,8,11
10,method_A,Groningen,after,29,35
11,method_B,Utrecht,after,28,31
12,control,Nijmegen,after,11,12
13,method_A,Rotterdam,after,26,40
14,method_B,Utrecht,after,23,31
15,control,Leiden,after,14,13
16,method_A,Nijmegen,after,28,30
17,method_B,Rotterdam,after,30,33
18,control,Leiden,after,6,16
19,method_A,Rotterdam,after,34,32
20,method_B,Groningen,after,25,36
21,control,Nijmegen,after,7,11
22,method_A,Utrecht,after,26,31
23,method_B,Nijmegen,after,17,31
24,control,Groningen,after,13,11
25,method_A,Groningen,after,,32
26,method_B,Groningen,after,15,35
27,control,Rotterdam,after,4,11
28,method_A,Leiden,after,37,35
29,method_B,Rotterdam,after,22,23
30,control,Leiden,after,,10
